Model,Scenario,Region,Variable,Unit,2019
Reference,IEA Energy Statistics (r2022),CHN,Secondary Energy|Electricity|Nuclear,EJ/yr,1.254078
Reference,IEA Energy Statistics (r2022),CHN,Secondary Energy|Electricity|Solar,EJ/yr,0.8103405600000001
Reference,IEA Energy Statistics (r2022),CHN,Secondary Energy|Electricity|Wind,EJ/yr,1.4617152000000002
Reference,IEA Energy Statistics (r2022),CMR,Primary Energy,EJ/yr,0.4085157056
Reference,IEA Energy Statistics (r2022),CMR,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),CMR,Secondary Energy|Electricity|Solar,EJ/yr,7.018560000000001e-05
Reference,IEA Energy Statistics (r2022),CMR,Secondary Energy|Electricity|Wind,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),COG,Primary Energy,EJ/yr,0.135527231
Reference,IEA Energy Statistics (r2022),COG,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),COG,Secondary Energy|Electricity|Solar,EJ/yr,3.6000000000000003e-06
Reference,IEA Energy Statistics (r2022),COG,Secondary Energy|Electricity|Wind,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),COL,Primary Energy,EJ/yr,1.844236113
Reference,IEA Energy Statistics (r2022),COL,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),COL,Secondary Energy|Electricity|Solar,EJ/yr,0.0004931424
Reference,IEA Energy Statistics (r2022),COL,Secondary Energy|Electricity|Wind,EJ/yr,0.00022796640000000002
Reference,IEA Energy Statistics (r2022),CRI,Primary Energy,EJ/yr,0.2218538721
Reference,IEA Energy Statistics (r2022),CRI,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),CRI,Secondary Energy|Electricity|Solar,EJ/yr,0.00020066400000000003
Reference,IEA Energy Statistics (r2022),CRI,Secondary Energy|Electricity|Wind,EJ/yr,0.006466838400000001
Reference,IEA Energy Statistics (r2022),CUB,Primary Energy,EJ/yr,0.400646054
Reference,IEA Energy Statistics (r2022),CUB,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),CUB,Secondary Energy|Electricity|Solar,EJ/yr,0.0008263188000000001
Reference,IEA Energy Statistics (r2022),CUB,Secondary Energy|Electricity|Wind,EJ/yr,7.560000000000001e-05
Reference,IEA Energy Statistics (r2022),CYP,Primary Energy,EJ/yr,0.09480346249999999
Reference,IEA Energy Statistics (r2022),CYP,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),CYP,Secondary Energy|Electricity|Solar,EJ/yr,0.0007857612
Reference,IEA Energy Statistics (r2022),CYP,Secondary Energy|Electricity|Wind,EJ/yr,0.000858834
Reference,IEA Energy Statistics (r2022),CZE,Primary Energy,EJ/yr,1.7902132799
Reference,IEA Energy Statistics (r2022),CZE,Secondary Energy|Electricity|Nuclear,EJ/yr,0.10888635240000001
Reference,IEA Energy Statistics (r2022),CZE,Secondary Energy|Electricity|Solar,EJ/yr,0.0083216664
Reference,IEA Energy Statistics (r2022),CZE,Secondary Energy|Electricity|Wind,EJ/yr,0.0025200504000000004
Reference,IEA Energy Statistics (r2022),DEU,Primary Energy,EJ/yr,12.3230857325
Reference,IEA Energy Statistics (r2022),DEU,Secondary Energy|Electricity|Nuclear,EJ/yr,0.27025560000000004
Reference,IEA Energy Statistics (r2022),DEU,Secondary Energy|Electricity|Solar,EJ/yr,0.16701120000000003
Reference,IEA Energy Statistics (r2022),DEU,Secondary Energy|Electricity|Wind,EJ/yr,0.4532184
Reference,IEA Energy Statistics (r2022),DNK,Primary Energy,EJ/yr,0.6697592601
Reference,IEA Energy Statistics (r2022),DNK,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),DNK,Secondary Energy|Electricity|Solar,EJ/yr,0.0034677684
Reference,IEA Energy Statistics (r2022),DNK,Secondary Energy|Electricity|Wind,EJ/yr,0.058139398800000006
Reference,IEA Energy Statistics (r2022),DOM,Primary Energy,EJ/yr,0.4115035317
Reference,IEA Energy Statistics (r2022),DOM,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),DOM,Secondary Energy|Electricity|Solar,EJ/yr,0.0009199548000000001
Reference,IEA Energy Statistics (r2022),DOM,Secondary Energy|Electricity|Wind,EJ/yr,0.0019859796000000003
Reference,IEA Energy Statistics (r2022),DZA,Primary Energy,EJ/yr,2.6372307873
Reference,IEA Energy Statistics (r2022),DZA,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),DZA,Secondary Energy|Electricity|Solar,EJ/yr,0.0024283440000000002
Reference,IEA Energy Statistics (r2022),DZA,Secondary Energy|Electricity|Wind,EJ/yr,3.76812e-05
Reference,IEA Energy Statistics (r2022),ECU,Primary Energy,EJ/yr,0.6440556408
Reference,IEA Energy Statistics (r2022),ECU,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),ECU,Secondary Energy|Electricity|Solar,EJ/yr,0.0001354212
Reference,IEA Energy Statistics (r2022),ECU,Secondary Energy|Electricity|Wind,EJ/yr,0.00030787200000000005
Reference,IEA Energy Statistics (r2022),EGY,Primary Energy,EJ/yr,4.0273395758
Reference,IEA Energy Statistics (r2022),EGY,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),EGY,Secondary Energy|Electricity|Solar,EJ/yr,0.0052952724
Reference,IEA Energy Statistics (r2022),EGY,Secondary Energy|Electricity|Wind,EJ/yr,0.013279201200000002
Reference,IEA Energy Statistics (r2022),ERI,Primary Energy,EJ/yr,0.0374468732
Reference,IEA Energy Statistics (r2022),ERI,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),ERI,Secondary Energy|Electricity|Solar,EJ/yr,7.9614e-05
Reference,IEA Energy Statistics (r2022),ERI,Secondary Energy|Electricity|Wind,EJ/yr,7.182000000000001e-06
Reference,IEA Energy Statistics (r2022),ESP,Primary Energy,EJ/yr,5.0829735
Reference,IEA Energy Statistics (r2022),ESP,Secondary Energy|Electricity|Nuclear,EJ/yr,0.2100564
Reference,IEA Energy Statistics (r2022),ESP,Secondary Energy|Electricity|Solar,EJ/yr,0.054370800000000004
Reference,IEA Energy Statistics (r2022),ESP,Secondary Energy|Electricity|Wind,EJ/yr,0.2003292
Reference,IEA Energy Statistics (r2022),EST,Primary Energy,EJ/yr,0.2194721062
Reference,IEA Energy Statistics (r2022),EST,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),EST,Secondary Energy|Electricity|Solar,EJ/yr,0.00026460000000000003
Reference,IEA Energy Statistics (r2022),EST,Secondary Energy|Electricity|Wind,EJ/yr,0.0024732
Reference,IEA Energy Statistics (r2022),ETH,Primary Energy,EJ/yr,1.8753723732999998
Reference,IEA Energy Statistics (r2022),ETH,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),ETH,Secondary Energy|Electricity|Solar,EJ/yr,6.343200000000001e-05
Reference,IEA Energy Statistics (r2022),ETH,Secondary Energy|Electricity|Wind,EJ/yr,0.0019170468000000002
Reference,IEA Energy Statistics (r2022),FIN,Primary Energy,EJ/yr,1.3952106136
Reference,IEA Energy Statistics (r2022),FIN,Secondary Energy|Electricity|Nuclear,EJ/yr,0.08593200000000001
Reference,IEA Energy Statistics (r2022),FIN,Secondary Energy|Electricity|Solar,EJ/yr,0.0005301
Reference,IEA Energy Statistics (r2022),FIN,Secondary Energy|Electricity|Wind,EJ/yr,0.02169
Reference,IEA Energy Statistics (r2022),FRA,Primary Energy,EJ/yr,10.1522993957
Reference,IEA Energy Statistics (r2022),FRA,Secondary Energy|Electricity|Nuclear,EJ/yr,1.4364417132
Reference,IEA Energy Statistics (r2022),FRA,Secondary Energy|Electricity|Solar,EJ/yr,0.044010662400000004
Reference,IEA Energy Statistics (r2022),FRA,Secondary Energy|Electricity|Wind,EJ/yr,0.12499806240000001
Reference,IEA Energy Statistics (r2022),GAB,Primary Energy,EJ/yr,0.1945726749
Reference,IEA Energy Statistics (r2022),GAB,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),GAB,Secondary Energy|Electricity|Solar,EJ/yr,6.912000000000001e-06
Reference,IEA Energy Statistics (r2022),GAB,Secondary Energy|Electricity|Wind,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),GBR,Primary Energy,EJ/yr,7.14514304
Reference,IEA Energy Statistics (r2022),GBR,Secondary Energy|Electricity|Nuclear,EJ/yr,0.20226214800000003
Reference,IEA Energy Statistics (r2022),GBR,Secondary Energy|Electricity|Solar,EJ/yr,0.046505052000000005
Reference,IEA Energy Statistics (r2022),GBR,Secondary Energy|Electricity|Wind,EJ/yr,0.23160542400000003
Reference,IEA Energy Statistics (r2022),GEO,Primary Energy,EJ/yr,0.21356961
Reference,IEA Energy Statistics (r2022),GEO,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),GEO,Secondary Energy|Electricity|Solar,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),GEO,Secondary Energy|Electricity|Wind,EJ/yr,0.00030489840000000004
Reference,IEA Energy Statistics (r2022),GHA,Primary Energy,EJ/yr,0.4683261659
Reference,IEA Energy Statistics (r2022),GHA,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),GHA,Secondary Energy|Electricity|Solar,EJ/yr,0.00018432000000000002
Reference,IEA Energy Statistics (r2022),GHA,Secondary Energy|Electricity|Wind,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),GRC,Primary Energy,EJ/yr,0.9240356569999999
Reference,IEA Energy Statistics (r2022),GRC,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),GRC,Secondary Energy|Electricity|Solar,EJ/yr,0.015942636
Reference,IEA Energy Statistics (r2022),GRC,Secondary Energy|Electricity|Wind,EJ/yr,0.0261588492
Reference,IEA Energy Statistics (r2022),GTM,Primary Energy,EJ/yr,0.6090363328999999
Reference,IEA Energy Statistics (r2022),GTM,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),GTM,Secondary Energy|Electricity|Solar,EJ/yr,0.0008335584000000001
Reference,IEA Energy Statistics (r2022),GTM,Secondary Energy|Electricity|Wind,EJ/yr,0.001190808
Reference,IEA Energy Statistics (r2022),HND,Primary Energy,EJ/yr,0.2401678857
Reference,IEA Energy Statistics (r2022),HND,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),HND,Secondary Energy|Electricity|Solar,EJ/yr,0.004024760400000001
Reference,IEA Energy Statistics (r2022),HND,Secondary Energy|Electricity|Wind,EJ/yr,0.0029497464
Reference,IEA Energy Statistics (r2022),HRV,Primary Energy,EJ/yr,0.3593456082
Reference,IEA Energy Statistics (r2022),HRV,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),HRV,Secondary Energy|Electricity|Solar,EJ/yr,0.00029916000000000003
Reference,IEA Energy Statistics (r2022),HRV,Secondary Energy|Electricity|Wind,EJ/yr,0.00528228
Reference,IEA Energy Statistics (r2022),HTI,Primary Energy,EJ/yr,0.1898182286
Reference,IEA Energy Statistics (r2022),HTI,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),HTI,Secondary Energy|Electricity|Solar,EJ/yr,1.2398400000000001e-05
Reference,IEA Energy Statistics (r2022),HTI,Secondary Energy|Electricity|Wind,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),HUN,Primary Energy,EJ/yr,1.1160335209999999
Reference,IEA Energy Statistics (r2022),HUN,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0586368
Reference,IEA Energy Statistics (r2022),HUN,Secondary Energy|Electricity|Solar,EJ/yr,0.0053892
Reference,IEA Energy Statistics (r2022),HUN,Secondary Energy|Electricity|Wind,EJ/yr,0.0026244000000000003
Reference,IEA Energy Statistics (r2022),IDN,Primary Energy,EJ/yr,10.0920263318
Reference,IEA Energy Statistics (r2022),IDN,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),IDN,Secondary Energy|Electricity|Solar,EJ/yr,0.0004248
Reference,IEA Energy Statistics (r2022),IDN,Secondary Energy|Electricity|Wind,EJ/yr,0.0017424
Reference,IEA Energy Statistics (r2022),IND,Primary Energy,EJ/yr,39.269763970999996
Reference,IEA Energy Statistics (r2022),IND,Secondary Energy|Electricity|Nuclear,EJ/yr,0.16730082000000002
Reference,IEA Energy Statistics (r2022),IND,Secondary Energy|Electricity|Solar,EJ/yr,0.18202811400000002
Reference,IEA Energy Statistics (r2022),IND,Secondary Energy|Electricity|Wind,EJ/yr,0.2518168932
Reference,IEA Energy Statistics (r2022),IRL,Primary Energy,EJ/yr,0.5709855765999999
Reference,IEA Energy Statistics (r2022),IRL,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),IRL,Secondary Energy|Electricity|Solar,EJ/yr,7.686e-05
Reference,IEA Energy Statistics (r2022),IRL,Secondary Energy|Electricity|Wind,EJ/yr,0.036070146000000004
Reference,IEA Energy Statistics (r2022),IRQ,Primary Energy,EJ/yr,2.3128757111
Reference,IEA Energy Statistics (r2022),IRQ,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),IRQ,Secondary Energy|Electricity|Solar,EJ/yr,0.00020629800000000002
Reference,IEA Energy Statistics (r2022),IRQ,Secondary Energy|Electricity|Wind,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),ISL,Primary Energy,EJ/yr,0.2517599207
Reference,IEA Energy Statistics (r2022),ISL,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),ISL,Secondary Energy|Electricity|Solar,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),ISL,Secondary Energy|Electricity|Wind,EJ/yr,2.3648400000000002e-05
Reference,IEA Energy Statistics (r2022),ISR,Primary Energy,EJ/yr,0.9079207767999999
Reference,IEA Energy Statistics (r2022),ISR,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),ISR,Secondary Energy|Electricity|Solar,EJ/yr,0.0118566
Reference,IEA Energy Statistics (r2022),ISR,Secondary Energy|Electricity|Wind,EJ/yr,0.00066312
Reference,IEA Energy Statistics (r2022),ITA,Primary Energy,EJ/yr,6.2369019147
Reference,IEA Energy Statistics (r2022),ITA,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),ITA,Secondary Energy|Electricity|Solar,EJ/yr,0.08528004
Reference,IEA Energy Statistics (r2022),ITA,Secondary Energy|Electricity|Wind,EJ/yr,0.0727273476
Reference,IEA Energy Statistics (r2022),JAM,Primary Energy,EJ/yr,0.12827843989999999
Reference,IEA Energy Statistics (r2022),JAM,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),JAM,Secondary Energy|Electricity|Solar,EJ/yr,0.00016560000000000001
Reference,IEA Energy Statistics (r2022),JAM,Secondary Energy|Electricity|Wind,EJ/yr,0.0009792000000000002
Reference,IEA Energy Statistics (r2022),JOR,Primary Energy,EJ/yr,0.386423574
Reference,IEA Energy Statistics (r2022),JOR,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),JOR,Secondary Energy|Electricity|Solar,EJ/yr,0.007510320000000001
Reference,IEA Energy Statistics (r2022),JOR,Secondary Energy|Electricity|Wind,EJ/yr,0.0031496400000000004
Reference,IEA Energy Statistics (r2022),JPN,Primary Energy,EJ/yr,17.388174256499997
Reference,IEA Energy Statistics (r2022),JPN,Secondary Energy|Electricity|Nuclear,EJ/yr,0.22960431360000003
Reference,IEA Energy Statistics (r2022),JPN,Secondary Energy|Electricity|Solar,EJ/yr,0.24822925560000003
Reference,IEA Energy Statistics (r2022),JPN,Secondary Energy|Electricity|Wind,EJ/yr,0.0276218064
Reference,IEA Energy Statistics (r2022),KAZ,Primary Energy,EJ/yr,3.0597150729
Reference,IEA Energy Statistics (r2022),KAZ,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),KAZ,Secondary Energy|Electricity|Solar,EJ/yr,0.002991024
Reference,IEA Energy Statistics (r2022),KAZ,Secondary Energy|Electricity|Wind,EJ/yr,0.002545686
Reference,IEA Energy Statistics (r2022),KEN,Primary Energy,EJ/yr,1.2090610099999999
Reference,IEA Energy Statistics (r2022),KEN,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),KEN,Secondary Energy|Electricity|Solar,EJ/yr,0.00039591720000000004
Reference,IEA Energy Statistics (r2022),KEN,Secondary Energy|Electricity|Wind,EJ/yr,0.0041613912000000005
Reference,IEA Energy Statistics (r2022),KGZ,Primary Energy,EJ/yr,0.1683547868
Reference,IEA Energy Statistics (r2022),KGZ,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),KGZ,Secondary Energy|Electricity|Solar,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),KGZ,Secondary Energy|Electricity|Wind,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),KHM,Primary Energy,EJ/yr,0.33829011989999996
Reference,IEA Energy Statistics (r2022),KHM,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),KHM,Secondary Energy|Electricity|Solar,EJ/yr,0.00033609600000000003
Reference,IEA Energy Statistics (r2022),KHM,Secondary Energy|Electricity|Wind,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),KWT,Primary Energy,EJ/yr,1.5530118593
Reference,IEA Energy Statistics (r2022),KWT,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),KWT,Secondary Energy|Electricity|Solar,EJ/yr,0.0003698532
Reference,IEA Energy Statistics (r2022),KWT,Secondary Energy|Electricity|Wind,EJ/yr,0.0001291896
Reference,IEA Energy Statistics (r2022),LBN,Primary Energy,EJ/yr,0.3615076801
Reference,IEA Energy Statistics (r2022),LBN,Secondary Energy|Electricity|Nuclear,EJ/yr,0.0
Reference,IEA Energy Statistics (r2022),LBN,Secondary Energy|Electricity|Solar,EJ/yr,0.00032014440000000004
Reference,IEA Energy Statistics (r2022),LBN,Secondary Energy|Electricity|Wind,EJ/yr,2.1600000000000003e-05
